fold,rmse,mae,r2
1,0.07910065352916718,0.02931060642004013,0.9955362745594131
2,0.16982941329479218,0.13972854614257812,0.972348994170661
3,0.042839933186769485,0.007954576052725315,0.9980219524761523
4,0.04517670348286629,0.010453061200678349,0.9981580709138973
5,0.03971425071358681,0.007926393300294876,0.9988190114696097
mean,0.07533219456672668,0.03907463699579239,0.9925768607179466
